Tabel 6 : Energi Terjual per Kelompok Pelanggan (GWh),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,2022,,,
Satuan PLN/Provinsi ,Rumah Tangga,Industri,Bisnis,Sosial,Gdg. Kantor,Penerangan,Jumlah,(%)
Tangga,,,,,Pemerintah,Jalan Umum,,
UIW Aceh ,"1.895,07 ","228,77 ","558,37","228,92","109,78","133,11","3.154,01","1,15"
UIW Sumatera Utara   ,"6.025,69","3.152,63","1.808,45","501,49","152,05","419,50","12.059,81","4,41"
UIW Sumatera Barat   ,"1.791,64","827,73","639,01","192,18","82,58","97,30","3.630,43","1,33"
UIW Riau dan Kepulauan Riau   ,"3.507,15","3.000,53","1.538,11","301,67","156,61","134,12","8.638,19","3,16"
- Riau   ,"3.007,32","2.960,77","1.236,21","260,79","115,41","111,14","7.691,64","2,81"
- Kepulauan Riau   ,"499,83","39,76","301,90","40,88","41,20","22,98","946,55","0,35"
"UIW Sumatera Selatan, Jambi, dan Bengkulu  "," 5.483,35","1.331,82","1.607,35","382,18","198,03","197,66","9.200,39","3,36"
- Sumatera Selatan   ,"3.295,08","1.067,48","1.017,77","234,75","116,00","147,23","5.878,31","2,15"
- Jambi   ,"1.421,85","182,54","437,41","101,31","50,96","40,79","2.234,86","0,82"
- Bengkulu   ,"766,42","81,81","152,18","46,12","31,06","9,64","1.087,22","0,40"
UIW Bangka Belitung   ,"766,15","393,27","225,85","54,55","35,77","8,54","1.484,13","0,54"
UID Lampung   ,"3.049,64","1.172,18","738,96","222,30","72,64","126,75","5.382,48","1,97"
UIW Kalimantan Barat   ,"1.906,59","233,04","625,63","136,33","85,26","47,99","3.034,85","1,11"
UIW Kalimantan Selatan dan Tengah   ,"2.856,24","749,50","911,90","231,86","148,81","88,84","4.987,15","1,82"
- Kalimantan Selatan   ,"1.846,17","560,89","589,15","154,88","84,05","63,73","3.298,88","1,21"
- Kalimantan Tengah   ,"1.010,07","188,61","322,75","76,98","64,76","25,11","1.688,28","0,62"
UIW Kalimantan Timur dan Utara   ,"2.486,11","454,56","1.091,99","212,35","180,92","53,38","4.479,30","1,64"
"UIW Sulawesi Utara, Tengah, dan Gorontalo  ","2.334,90","543,28 ","741,85","198,56","148,06","93,85","4.060,49","1,48"
- Sulawesi Utara  ,"960,20","394,48 ","428,72","91,66","50,92","40,07","1.966,05","0,72"
- Gorontalo   ,"417,10","68,82","102,44","34,59","40,22","10,88","674,05","0,25"
- Sulawesi Tengah   ,"957,59","79,98","210,68","72,30","56,93","42,90","1.420,38","0,52"
"UIW Sulawesi Selatan, Tenggara, dan Barat   ","4.426,32","2.802,53","1.518,70","403,62","231,82","157,75","9.540,75","3,49"
- Sulawesi Selatan ,"3.323,67 ","2.691,79 ","1.222,87","324,28","163,54","130,47","7.856,64","2,87"
- Sulawesi Tenggara   ,"794,11","68,11","231,58","54,50","45,90","19,70","1.213,90","0,44"
- Sulawesi Barat   ,"308,54","42,63","64,24","24,84","22,38","7,58","470,21","0,17"
UIW Maluku dan Maluku Utara   ,"809,53","20,51","272,74","69,63","89,03","17,99","1.279,42","0,47"
- Maluku   ,"352,87","11,64","148,59","36,40","49,96","7,64","607,10","0,22"
- Maluku Utara   ,"456,66","8,88","124,15","33,22","39,07","10,35","672,32","0,25"
UIW Papua dan Papua Barat   ,"1.123,05","22,65","481,98","113,68","142,13","18,50","1.901,98","0,69"
- Papua   ,"754,32","12,18","330,01","77,01","94,70","12,30","1.280,52","0,47"
- Papua Barat   ,"368,73","10,46","151,98","36,67","47,43","6,20","621,46","0,23"
UID Bali   ,"2.473,52","194,67","2.431,11","186,28","119,27","65,66","5.470,51","2,00"
UIW Nusa Tenggara Barat   ,"1.495,97","200,45","446,78","110,13","50,50","55,48","2.359,31","0,86"
UIW Nusa Tenggara Timur   ,"759,36","28,31","270,56","78,15","52,75","17,77","1.206,91","0,44"
PT PLN Batam ,"922,69 ","874,53 ","1.011,71","79,77","39,46","15,01","2.943,17","1,08"
Luar Jawa   ,"44.112,96","16.230,96","16.921,04","3.703,65","2.095,45","1.749,21","84.813,27","30,98"
UID Jawa Timur ,"15.462,12 ","17.032,15 ","5.454,49","1.541,15","455,27","601,69","40.546,88","14,81"
UID Jawa Tengah dan Yogyakarta   ,"14.774,93","9.055,57","4.599,50","1.527,45","380,40","553,41","30.891,25","11,28"
- Jawa Tengah   ,"12.961,71","8.778,30","3.789,54","1.239,73","304,65","490,70","27.564,64","10,07"
- D.I. Yogyakarta   ,"1.813,22","277,27","809,96","287,71","75,74","62,70","3.326,61","1,22"
UID Jawa Barat ,"20.871,52 ","25.419,11 ","7.610,34","1.422,88","503,81","398,45","56.226,11","20,54"
UID Banten  ,"6.049,89","16.605,16 ","3.407,59","395,19","163,58","84,26","26.705,67","9,76"
UID Jakarta Raya ,"14.824,00 ","4.140,34 ","12.539,23","1.482,92","1.396,61","195,20","34.578,29","12,63"
J a w a  ,"71.982,45","72.252,34 ","33.611,15","6.369,58","2.899,67","1.833,02","188.948,21","69,02"
I n d o n e s i a ,"116.095,41  ","88.483,30","50.532,19","10.073,23","4.995,12","3.582,23","273.761,48","100,00"
(%) ,"42,41 ","32,32 ","18,46","3,68","1,82","1,31","100,00",
