Province,Tahun_2021,Tahun_2022,Tahun_2023
Aceh,904.88,894.55,1110.82
Sumatera Utara,4603.58,4612.67,4066.51
Sumatera Barat,1031.49,1012.23,1026.11
Riau,1429.86,1492.82,1509.77
Jambi,369.81,341.11,277.95
Sumatera Selatan,2286.43,2294.45,3480.39
Bengkulu,529.89,547.52,547.51
Lampung,1087.92,1095.72,1095.88
Kep. Bangka Belitung,354.93,349.26,346.84
Kep. Riau,757.43,956.84,1053.13
DKI Jakarta,5126.27,5119.77,5119.77
Jawa Barat,9079.0,11023.5,10515.9
Jawa Tengah,8764.04,13543.39,12121.3
DI Yogyakarta,0.78,0.78,0.78
Jawa Timur,10063.77,9980.61,9881.79
Banten,8932.98,8932.98,8933.22
Bali,1009.04,1107.48,1216.49
Nusa Tenggara Barat,690.26,736.88,795.91
Nusa Tenggara Timur,505.02,498.8,510.49
Kalimantan Barat,809.23,970.92,1039.77
Kalimantan Tengah,617.68,790.52,787.52
Kalimantan Selatan,675.89,665.96,694.24
Kalimantan Timur,1505.18,1478.97,1503.18
Kalimantan Utara,249.43,253.6,252.8
Sulawesi Utara,571.18,545.62,549.41
Sulawesi Tengah,649.76,885.89,885.14
Sulawesi Selatan,1874.2,1897.74,1969.5
Sulawesi Tenggara,405.7,397.96,394.77
Gorontalo,229.51,320.32,294.24
Sulawesi Barat,57.4,57.4,59.42
Maluku,390.74,471.91,365.78
Maluku Utara,157.88,190.06,362.51
Papua Barat,267.51,219.19,111.48
Papua,525.64,531.07,259.06
